us
thousand
mid
role
disseminate
fictitious
online
persona
dcleak
guccifer
welcome
senior
come
hop
recover
miss
private
server
wikileak
hour
outlet
video
consider
damaging
obtain
relate
contacts
coincide
series
reflect
business
offer
assistance
invitation
meet
position
seek
improve
relation
transition
period
summarize
chronological
real
estate
project
tower
moscow
sign
letter
oflntent
january
michael
cohen
speak
press
secretary
dmitry
peskov
pursue
travel
spring
joseph
mifsud
london
professor
immediately
return
trip
tell
dirt
week
arrange
meeting
place
summer
outreach
continue
presumptive
republican
nominee
example
lawyer
jr
jared
kushner
paul
manafort
deliver
propose
incriminate
mr
write
anticipate
prospect
day
cybersecurity
firm
infiltrate
access
opposition
carter
page
personal
capacity
new
economic
school
live
officer
act
unregistered
agent
advocacy
pro
draw
attention
distance
september
remove
post
internal
reveal
high
potential
august
york
city
long
konstantin
kilimnik
assess
request
peace
plan
ukraine
acknowledge
backdoor
eastern
man
believe
assent
succeed
elect
discuss
status
strategy
win
vote
cause
polling
datum
share
sharing
graphic
woman
year
earlier
candidacy
suspect
homeland
security
director
issue
platform
prominent
businessman
try
inroad
administration
level
encourage
embassy
congratulate
pick
kirill
dmitriev
chief
sovereign
wealth
fund
russians
incoming
erik
prince
steve
bannon
face
seychelles
introduce
friend
serve
short
reconciliation
imply
clear
proposal
inauguration
copy
rex
tillerson
obama
flynn
ambassador
sergey
kislyak
ask
escalate
situation
following
retaliatory
measure
tweet
great
delay
receiv
ed
choose
retaliate
community
brief
assessment
draft
central
intellig
ence
variety
harm
version
february
the
house
permanent
select
hpsci
senate
ssci
judiciary
inquiry
james
corney
congress
existence
session
testimony
counterintelligence
nature
commit
seven
fire
rod
rosenstein
arise
directly
cf
6004a
generally
cover
obstruct
react
negatively
specia
end
jefferson
jeff
unrecuse
counse
engage
curtail
prevent
witness
determine
violation
principles
manual
et
seq
standard
le
probably
sufficient
sustain
conviction
non
alternative
detailed
explanation
contain
component
dump
involve
participate
defraud
deceptive
regulate
influence
count
identity
al
ddc
affiliate
violate
statute
char
ne
18cr215
thing
finance
lie
materially
impair
plead
guilty
investigator
inter
alia
timing
in
makin
false
con
ress
trum
ro
ect
grand
jury
concern
speech
washington
dc
convention
substantive
dilute
portion
undertake
behest
sessions
pass
mention
yield
admissible
complete
subject
fifth
amendment
right
compel
self
judgment
appropriate
grant
immunity
limit
pursuit
claim
light
eg
court
presumptively
legal
privilege
screen
filter
testify
agree
interview
incomplete
ability
relevant
abroad
hold
outside
learn
delete
communicate
application
feature
encryption
record
case
able
corroborate
contemporaneous
fully
inconsistent
accordingly
determination
accurate
extent
possible
rule
possibility
unavailable
shed
cast
deputy
recusal
gen
rely
authority
vest
usc
discharge
responsibility
supervision
management
ensure
thorough
andor
afford
prosecute
course
intent
perjury
obstruction
destruction
intimidation
similar
necessary
Idaho
finally
applicable
sections
throu
gh
title
regulations
rd
clarify
subsequent
memorandum
date
categorically
permit
investiga
te
allegation
comm
collude
respect
payment
ukrainian
receipt
loan
israeli
investigative
pertinent
richard
gates
roger
stone
confirmation
stress
establishment
essential
consultants
llc
possibly
befor
attorne
structure
view
power
authorit
exercise
prosecutorial
function
range
classified
available
assume
warrant
inception
nearly
jud
gment
regard
affiliat
conclude
proceeding
remain
ongoing
consultation
transfer
appendix
list
district
breadth
supp
3d
dd
va
periodically
enforcement
referral
assign
assemble
join
practice
personnel
turn
paralegal
antitrust
division
administrative
responsible
budget
human
resource
facility
technology
co
locate
alongside
approximatel
analyst
forensic
professional
supervise
subpoena
sit
columbia
execute
search
register
mutual
approximately
broad
procedure
convey
regularly
purpose
tenure
past
review
writing
summary
field
correspondence
derive
adhere
regulation
guideline
domestic
investigations
operations
superv
active
measures
yevgeniy
viktorovich
concord
consulting
catering
collectively
large
audience
goal
typically
refer
aim
international
affair
operate
attract
falsely
activist
means
gather
photograph
derogatory
number
expenditure
buy
association
knowingly
intentionally
million
facebook
offic
aware
es
sm2230634
serial
cite
er
treat
sensitive
context
infra
indictment
February
doc
int
follower
figure
retweet
create
content
estimate
book
twitter
notify
people
anization
hear
115th
cong
colin
stretch
offacebook
news
expose
story
originate
good
instagram
piece
update
January
aharm
hide
oversight
wealthy
head
treasury
sanctions
individuals
entities
crimea
December
neil
macfarquhar
times
pay
operative
disruptive
website
administrator
recruit
white
read
55th
birthda
dear
boss
li
ur
elections
translator
differ
ent
different
technique
messages
muslims
america
id
gathering
enter
anna
bogacheva
aleksandra
krylova
visa
dozen
specialist
start
youtube
add
initially
ten
gop
purport
connect
tennessee
commonly
tea
black
alex
anderson
gary
williams
richardson
unofficial
endorsement
ten_gop
readonaldtrump
se
borders
officially
criticize
secretar
intensify
th
conservative
shoot
publish
increase
oppose
operational
matt
skiber
privately
message
help
near
promote
accord
total
explicitly
god
let
tragedy
similarly
photo
exception
negative
reference
largely
patriotic
young
hashtag
stop
secured
ce
politically
deactivate
ti
automate
exist
individualized
bein
original
user
messaging
attempt
anti
immigration
march_for_trump
reaction
gain
quote
sanders
confederate
flag
war
money
jenn_abram
pm
chris
major
source
partisan
opinion
study
March
step
ted
cruz
cia
world
profile
mcfaul
sean
hannity
respond
botnet
rogerjstonejr
pamela
moore
happen
voice
old
documentary
mental
eli
problem
rallies
preexist
attend
coordinator
operator
personally
ist
ident
ifi
attendance
hav
success
joshmilton024gmailcom
stand
freedom
evening
want
florida
pennsylvania
miami
bring
wh
targeting
recruitment
persons
olitical
family
ju
stice
fist
americans
protect
hire
defense
class
sponsor
generate
perform
santa
track
successfully
task
run
takin
messa
brooks
dm
marc
plane
ticket
skibe
supply
construction
occasion
surrogate
method
additionally
represent
promotion
materials
leader
eric
donaldjtrumpjr
rt
break
change
voter
roll
police
voterfraud
county
vet
away
hat
kellyanne
parscale
fraud
mishandle
la
realdonaldtrump
backup
love
monitor
screenshot
wave
shut
conference
corruption
ke
ll
mother
jail
sailor
son
info
truth
friday
feeling
lynn
readona
potus
north
carolina
age
dona
ldjtrumpjr
fail
democrats
thank
wa
yesterday
behalf
aside
sum
allege
donaldtrumpcom
pence
phone
location
blast
unit
federation
uccifer
unable
resolve
language
units
military
dedicate
governmental
sub
divide
develop
malicious
software
malware
de
scale
spearphishing
bitcoin
mining
vb
netyksho
r1
separate
western
doping
Pennsylvania
spearphish
ema
il
trust
solicit
sender
recipient
publication
belong
board
primary
credential
indicate
opportunity
google
small
advance
informal
victim
download
ill
transaction
obscure
newly
exchange
sm2589105
networks
initial
ensue
unrestricted
vpn
file
ma
ware
implant
type
tunnel
tool
compile
compress
multi
allow
log
infected
encrypt
capable
extend
database
consent
knowledge
middle
relay
internally
ams
panel
center
host
etc
lease
provider
investi
ation
rental
capture
key
password
officers
significant
pertain
fundraise
shortly
pdf
microsoft
folder
exfiltrat
gigabyte
betwe
en
sm2589105hack
image
ofdnc
dissemination
hacked
domain
dcleakscom
registration
tranche
bear
financial
prior
job
actor
attem
archive
htt
November
portfolio
administer
dcleaksprojectgmailcom
reporter
dcleaks
leak
breach
apparently
announcement
wordpress
blog
launch
manage
phrase
english
sheet
worldwide
unique
web
corporation
william
rnc
ha
smoking
gun
leaks
om
hi
dmitri
crowdstrike
criticism
recommendation
race
competitive
interested
specifically
exclusive
lock
restrict
tend
closely
opponent
1st
politic
1s2
movement
close
apparent
deflect
ks
closed
ia
interesting
docum
think
model
democrat
entire
pretty
expand
encrypted
channel
particularly
founder
julian
assange
privat
ely
we
dem
liberal
sic
block
bad
quality
push
connected
litigation
build
chat
lot
includin
dumb
ls
plot
useful
player
important
future
note
prepare
ready
ether
ou
moment
initiate
impact
approach
bernie
ok
chance
stolen
ikileaks
idea
whitehouse
empire
indictm
assan
land
big
attachment
submission
disappoint
promise
accou
sm2589105dcleaks
twitt
guccifer_2
July
https
em
metadata
site
creation
operating
stag
previously
resume
similarity
sin
intermediary
visit
sm2284941
apple
setting
leave
save
ellen
nakashima
rare
look
rank
foundation
mar
ch
emerge
abov
uncover
discredit
seth
rich
kill
decide
reward
murder
staffer
likewise
killer
threat
comment
don
certainly
sound
reply
potentially
circumstance
necessarily
seriously
deny
congressman
physical
proof
eventually
listen
hope
mightily
store
remark
aide
unclear
cloud
produce
da
snapshot
fox
August
kelly
quest
cnn
emails
span
addition
local
sboe
electronic
item
exploit
vulnerability
command
illinois
scan
eriod
attached
cod
independently
verify
belief
background
televise
pend
gate
recall
frustrate
television
plea
supersede
ie
tax
failure
bank
statem
17cr201
superseding
deem
reliable
iva8
irifra
untruthful
proffer
recount
sufficiently
trustworthy
value
align
incident
effect
single
l00la
southern
cam
lv
vii
airport
sm2180998
corsi
rise
prominence
kerry
proponent
barack
accompany
subsequently
malloch
touch
wish
uk
politician
actual
present
preclude
affirmative
limited
est
discussion
helpful
conversation
driver
seat
hollywood
adversely
affect
pressure
aboard
transatlantic
flight
convince
forthcoming
tape
maybe
little
corroboration
sto
substance
participant
jason
fishbein
unlaunched
putintrump
iraq
progress
pac
putintrumporg
guess
guy
sure
thought
ifwe
attach
advocate
dad
talk
strongly
wlsearchtk
jabbercryptopartyis
trumporg
conway
wik
ileaks
am
permanently
destroy
degree
henry
oknyansky
greenberg
caputo
partner
broker
alexei
rasin
sell
possess
demonstrate
involvement
laundering
dollar
refuse
motivation
unsuccessfully
cut
recollection
license
origin
purportedly
repeatedly
barbara
ledeen
peter
smith
investment
briefly
happy
classify
enemy
need
likelihood
ago
chinese
phase
check
forward
colleague
szobocsan
decline
initiative
raise
expert
affiliation
sec
undisclosed
sam
clovis
finish
involved
probe
home
unprotected
vary
circle
kls
furtherance
ofkls
authenticate
pait
fundraising
circulate
independent
safron
paper
ve
September
wonder
memo
marry
eye
contribution
tech
ascertain
authenticity
originally
examination
supra
of
maintain
jerome
organizations
established
author
device
preserve
test
retain
intimate
ai
ainst
avenue
sort
favorable
treatment
subsection
attributable
dealing
ess
iva
recently
representation
iva2
iva3
tank
specialize
iva4
iva5
iva6
editor
asatryan
hicks
acquisition
subsidiary
corporate
property
licensing
deal
developer
country
explore
brand
combination
commercial
hotel
residential
building
counterpartie
spearhead
venture
crocus
conglomerate
aras
agalarov
universe
pageant
emin
ike
kaveladze
negotiation
occasional
goldstone
negotiate
preliminary
duration
118cr850
sdn
widely
performer
ka
emai
osc
accept
arrangement
commission
sale
incentive
januar
development
propo
sal
construct
ivanka
element
prospective
area
specification
compete
beginning
planning
stage
kav
v_00972
mcgee
khoo
contractor
alarov
tn
tropea
prove
fear
bail
giorgi
rtskhiladze
felix
sater
vice
advise
organi
zation
lvanka
ic
lc
andrei
vladimirovich
rozov
ee
approval
candidat
provid
updat
assure
coh
architect
proje
experience
po
ssible
rovid
condu
ct
batumi
georgia
if
definitely
mayor
pledge
translation
strong
relationship
global
nizharadze
instead
loi
facilitate
silk
road
kazakhstan
twice
rtskhilad
ze
contemplate
luxury
condominium
one
floor
room
plus
revenue
gross
profit
earn
commitment
transmit
boy
usa
putins
nomination
better
game
successful
whatev
davis
billion
schedule
americas
difficult
pull
implication
implicit
allude
lana
erchova
husband
klokov
external
pjsc
grid
unified
energy
lan
alexander
minister
telephone
synergy
recommend
unidentified
desire
willingness
conjunction
formal
emphasize
pe
ramification
of2015
of2016
ex
cooperation
completely
reject
currently
invite
final
complain
sergei
ivanov
erroneously
pr_peskovaprpressgofru
ru
lengthy
pr_peskovaprpressgovru
repeat
terminate
admit
fs00004
text
infoprpressgovru
elena
poliakova
assistant
minute
outline
financing
call
today
amend
round
edit
andrey
suit
oppo1tunity
presiden
vol
records
outlook
entry
fs000l
genbank
vtb
option
logistic
evgeney
dvoskin
line
passport
ministry
affairs
ceo
consulate
rhona
graff
toll
lending
relat
mes
sage
obviously
pre
anytime
revert
cleveland
fly
forum
annual
guest
davos
medvedev
perfect
table
djt
fs00016
roscongress
actually
lobby
significantly
manager
corey
lewandowski
impossible
mira
duma
industry
prikhodko
prime
honor
highly
fs000
answer
signature
paragraph
extremely
demanding
print
foresman
banker
anton
kobyakov
mark
ion
expertise
bush
kremlin
concrete
thin
gs
feel
macchia
execut
presid
responses
nov
ms
unsigned
graffto
esman
absolutely
to
stephen
miller
interact
institute
withdraw
participation
recogni
papadopoulo
polic
trumporg_16_00137
ivb3
carson
actively
centre
lcilp
bill
comprise
debriefing
arrest
sealed
complaint
olga
polonskaya
ivan
timofeev
transcript
editorial
linkedln
glassner
idris
arrive
reiterate
lutes
lack
experienced
notice
credibility
topic
of2
October
campus
university
italian
maltese
academy
diplomacy
england
rome
overlap
uninterested
european
importance
papadop
oulo
r5
guardian
offens
advisory
chair
senator
oil
consultant
niece
true
leadership
lunch
neutral
wait
phillip
questions
nato
history
morning
afternoon
na
stance
shift
play
ally
especially
france
germany
reassure
coverage
oval
poli
cy
candida
previous
sector
jd
gordon
crystal
receptive
supportive
attendee
rus
sia
precise
refrain
opoulo
hoskins
contrary
correspond
pleased
valdai
tomorrow
body
legislative
assembly
club
arms
andaz
cellphone
council
riac
mfa
skype
groundwork
unknown
manner
odd
igor
advice
breakfast
libya
April
street
mf
yuriy
melnik
spokesperson
counselor
connections
communications
apprise
advantage
bit
openly
eager
low
signal
chain
clov
departure
walid
phares
david
lazar
rabbi
klein
significance
counterterrorism
tag
summit
papad
far
remember
consistent
handwritten
9th
parliament
counter
terrorism
journal
backing
lose
l1
lett
it
risk
fl
jj
fm
egypt
sp
door
feasible
app
ear
column
adverse
publicity
greek
iiia
iiib
clearly
upset
certainty
forei
mi
ht
hillar
china
interfax
def
mem
17cr182
footnote
millian
despite
repeated
american
citizen
belarus
chamber
commerce
insider
wit
campa
ign
denysyk
voting
papadopou
ev
chicago
bar
formally
lynch
gazprom
yatsenko
found
capital
gec
market
income
force
life
pa
bulatov
intelli
victor
podobnyy
diplomatic
hook
representatives
exhibit
buryakov
sdny
r34
comp
laint
obvious
description
male
nations
opening
immaterial
basis
briefing
com
spend
europe
through
produc
feedback
mayflower
dakota
watch
praise
commencement
ceremony
daily
severe
meddling
prepared
speaker
nes
entirely
andrej
krickovic
higher
economics
rector
shlomo
weber
denis
klimentov
beneficial
brother
maria
zakharova
translate
impede
regime
arkady
dvorkovich
hurt
shake
hand
baranov
investor
rosneft
sechin
evolution
economy
tatneft
incredible
legislator
devise
solution
vast
current
array
readily
ver
worry
yahoo
spokesman
steven
tom
hamburger
isikoff
intel
officials
ties
adviser
instruct
he
east
dimitri
simes
cni
sime
soviet
union
hearing
grow
nixon
oversee
honorary
carnegie
cnl
saunder
delegation
patt
luncheon
kissinger
trouble
handle
suggestion
zakheim
saunders
boyd
carefully
hosts
rick
dearborn
bullet
burt
vip
reception
invitee
subset
quickly
positive
friendly
ken
dilanian
nbc
julia
atlantic
heilbrunn
whereabout
depart
food
wake
apart
dinner
seasons
charles
jacob
zalmay
khalilzad
afghanistan
luff
c00004362
bauman
cantelmo
nation
continu
optic
highlight
care
attack
butt
nosc00005653
likely
careful
tion
reagan
clintons
career
vargas
djtfp00023484
hagan
manafmt
c00007981
priority
exaggerate
invasion
annexation
client
crown
prosecutor
upcoming
learning
natalia
veselnitskaya
illegal
critique
magnitsky
ban
adoption
child
revisit
yuri
chaika
enterprise
that
gift
congratulation
publicist
agalarovs
beniaminov
shugart
preteet
fed
restriction
die
prison
purely
halt
katsyv
prevezon
holdings
ltd
defendant
civil
forfeiture
proceed
veselnitska
rachel
jack
spy
reuters
andrew
kramer
sharon
lafraniere
said
pub
stat
browder
accuse
ofnatalia
gray
porter
kidnapping
prev
oleg
rob
appreciate
ust
any
free
rg000061
djtjr00446
ifhe
card
awareness
warn
vital
hick
father
manafo1
error
azerbaijan
conduit
ime
rinat
akhmetshin
lobbyist
anatoli
samochornov
oath
sequence
intention
monday
pulse
nightclub
alter
cash
written
corrupt
nyc
ele
ction
misconduct
ziff
donation
samochomov
assert
alleged
trace
aggravated
what
prohibit
notes
flow
waste
companies
cyprus
invest
cheney
acquaintance
pr
owner
reliability
accuracy
depend
consult
intervi
ew
meetin
wrong
unsuccessful
ng
kav_00029
ts
daughter
alan
garten
futerfas
concerned
terrible
this
worth
blow
throw
reputation
basically
insist
courtesy
definitively
expressly
condition
hindsight
interpret
contradict
11g
lethal
aggression
revise
partners
heritage
ohio
sen
bob
plain
dealer
greet
eat
preparation
subcommittee
delegate
mashburn
challenge
plank
diana
denman
provision
armed
sovereignty
integrity
restore
defensive
weapon
region
underscore
object
hoff
strike
objection
weigh
familiar
intervene
replace
unrelated
approve
surprised
directive
residence
on
optimal
busily
knock
constant
stream
debate
hrc
pchelyakov
djtfp00004953
relations
substantially
cabinet
sandra
pete
landrum
bloc
border
overture
lay
kgb
mad
dine
discus
sed
governor
anticipated
deripaska
stay
longtime
kiev
convict
virginia
fbar
agents
fara
tamper
hang
sentence
imprisonment
iiid
oates
viktor
anukovych
minor
wink
slight
designate
yanukovych
ofmanafort
judge
ose
cooperate
preside
preponderance
disagreement
lawsuit
stem
dmi
ukrain
ian
republic
confer
pericles
sole
wire
transfers
dispute
revive
akhmetov
regions
regain
amidst
popular
protest
entourage
boyarkin
patten
ob
iri
differently
tri
jonathan
hawker
british
fti
filing
govt
opp
mot
modify
117cr201
mislead
withhold
el
samuel
nix
van
der
zwaan
strategist
thomas
barrack
mana
fort
lobbying
joke
abc
crim
lago
meaningful
monetize
serhiy
lyovochkin
kolesnikov
memoranda
article
ovd
yes
owe
drop
io
trial
air
punishment
fight
kyiv
pollster
tony
fabrizio
accordance
mind
sensitivity
willing
mike
schultz
ash
jackson
glean
boyko
train
boost
zone
caviar
jar
principle
identification
with
tuesday
night
autonomous
cbp
jersey
protection
wife
donbas
declare
occupy
crazy
reconsider
au
urgent
confront
acknowl
ary
encompass
battle
ward
avoid
resignation
activities
resign
entitle
victory
loss
prefer
cuba
south
manafo11
oganov
doubt
suppose
madrid
kt
mcfarland
ential
broach
lee
crisis
biography
bloomberg
all
dt
bureau
poll
primer
solely
electioninterference
immediate
entail
cell
hard
kuznetsov
presence
nosc00044381
committees
syria
icy
petr
aven
alfa
quarterly
fourth
quarter
q4
consequence
typical
precede
vaino
difficulty
ven
at2
ryan
rationale
skepticism
era
behavior
arab
emirates
uae
nader
assoc
iate
hedge
gerson
rdif
mohammed
bin
zayed
gulf
west
preference
phare
primarily
fill
sition
assurance
corallo
comfortable
pace
rush
chess
tournament
camp
marinello
positively
wikipedia
wilbur
mnuchin
mobile
durin
surprise
worthwhile
wield
kasbo
fair
meetings
resort
resolution
effective
sail
restaurant
strate
preate
impression
angry
contrast
surround
usrussia
somebody
mass
honest
dialogue
proper
island
speed
saturday
catherine
routine
ushakov
stmt
nosc00004356
brown
inquire
nonetheless
rmf
sco00000015
atencio
flaherty
llp
calendar
strut
gorkov
insistent
avi
berkowitz
nt
unlikely
vnesheconombank
veb
econom
nosc00000130
djtfp
sco
services
painting
bag
town
ns
kind
obligation
characterize
deput
tsekhomsky
wall
matthew
regardless
efforts
conn
ection
letterone
canadian
luxembourg
ivanchenko
unusual
realm
secret
influential
understanding
imposition
mara
accede
settlements
israel
cease
settlement
territory
l17cr232
karen
deyoung
abstain
un
condemn
passage
critical
predttet
defeat
postpone
ith
7cr232
stateme
validity
reince
priebus
vacation
dominican
ought
ofthe
actions
harassment
wagner
obrien
sf00000
bossert
tit
tat
ambo
sf00000l
ge
nn
r3
reciprocal
spicer
leverage
escalatory
r3d
lavrov
difference
diplomat
handling
interferenc
jurisdiction
parallel
counts
appearance
dismiss
ground
motion
sian
conspirator
pinedo
sc
118cr24
confinement
nspa
merchandise
tangible
supreme
2d
f2d
10th
cir
ring
intangible
unauthorized
rep
argue
const
meaning
qualify
effectively
f3d
bane
culpability
probable
os
rosecution
govern
implicate
solicitation
statutory
constitutional
willfully
dictionary
an
forbid
glossary
accomplish
unlawful
trigger
clause
criminalize
lawful
statutes
governing
oppos
espionage
suffice
duran
11th
7th
dumeisi
direction
willfulness
notification
requirement
indirectly
supervised
lcl
servant
c1
omission
supplement
penalty
fine
extensive
und
waiver
l17cr201
7cr201
turkey
underlie
thereof
reasonable
distribute
surveillance
fisc
finding
compelling
bluman
fec
broadly
disbursement
a2
subscription
deposit
301018ai
exclude
electioneering
distribution
broadcast
specify
cross
category
30116a
sa
citizens
willful
aggregate
felony
30109dlai
danielczyk
Virginia
bryan
burden
inference
influenc
argument
illegality
exceed
threshold
emphasis
inclusive
valuable
construe
curiam
bribery
fowler
4th
bid
6th
quotation
omit
membership
wl
tendency
judicial
voluntary
interpretation
monetary
simply
uncertain
scienter
8th
fairly
concealment
showing
mount
cost
was
uncertainty
considerations
fraudulent
basic
ement
pattern
circuit
misleading
lly
satisfy
natural
discrete
strict
common
falsity
n6
demand
ice
obstructive
nexus
indicat
thr
inve
stigation
ld
ly
bs
hinder
possession
inaccurate
duty
requ
restraint
moderate
totality
await
sentencing
incorporate
there
minimize
no
plausible
narrowly
distinguish
insufficient
truthful
preteetecl
traditional
olc
impermissibly
constitutionally
separation
accusation
cr
permissible
intere
amenability
op
cl
impeachment
memory
fresh
dept
fairness
ordinary
impartial
seal
akin
exonerate
5th
citation
results
skyscraper
legitimacy
comey
loyalty
disagree
quid
quo
ambassadorship
recuse
mcgahn
anger
weekend
urge
disclose
nsa
dispel
notwithstanding
guidance
lift
termination
firing
properly
lengthen
asserted
turning
massacre
dictate
unfair
jeopardy
reverse
sess
unrecus
hero
improper
mettle
remind
warm
longer
hostility
deliberate
unfairly
pardon
brave
flip
rat
ofjustice
facially
powerful
subordinate
unlike
sident
motif
discouragement
ern
witne
ss
defenses
coun
precedent
1512c2
omnibus
justifie
narrow
availability
bribe
suborn
constitution
immunize
doctrine
fulfill
corruptly
preclusion
shield
embarrassment
faithfully
justify
motive
chill
performance
balance
ultimate
endeavor
quattrone
bracket
render
affirm
cintolo
aguilar
arthur
andersen
2c
1512c
petruk
phillips
reich
requir
warning
proscribe
subjective
objective
evil
unnaturally
improbably
foreseeable
discretionary
martinez
ellipsis
dishonestly
subvert
orruptly
immoral
consciousness
wrongdoing
requisite
ballentine
pasha
scalia
concur
dissent
longstanding
spec
persuasion
contemplation
ind
sparks
byrne
lashay
explicit
induce
giv
512b3
articulate
conscious
sincerely
truthfully
innocent
sweep
sampson
leisure
reportedly
reasonably
fbt
factor
core
justification
wou
infer
circumstantial
rarely
men
rea
rest
necessity
ofa
illuminate
obstruc
evid
mistake
observe
instructions
seventh
fabricate
predate
thos
persist
commentator
gala
gas
weak
lieutenant
deep
politico
arming
spur
los
angeles
josh
gut
reacts
deliberation
had
resident
ecial
opinions
penetrate
amber
consensus
ty
aid
zero
ridiculous
assertion
lb
doral
yeah
couple
finalize
denial
untrue
jest
sarcastically
observer
amid
scrutinize
ine
headline
prob
nationa
dhs
cahoot
excuse
louis
nelson
nechepurenko
allies
ryabkov
jim
heintz
underway
associated
wallace
sunday
cq
newsmaker
transcripts
spin
erview
hous
missy
punish
ure
interferen
buzzfeed
unverified
christopher
steele
absolute
disgrace
easily
inv
estigation
ial
bensinger
i0
i7
pompeo
doj
discusses
ptt
lt
embarrass
govemment
i6
mccord
werk
preteetea
15th
1i
refute
bipartisan
pos
fake
evan
perez
1l
clapper
presidenti
fast
sta
hp
sci
columnist
logan
ignatius
dawdle
alarm
swear
cbs
julie
envoy
yates
at3
mccabe
yate
sally
mary
burnham
eisenberg
scr0l5
scrol
scr015_000198
potu
stuff
dan
coats
coat
unhappy
scr015_000199
perception
scr015
diary
dhillon
intelligen
narrative
interfer
yo
schmidt
demanded
demurred
sarah
remarks
allegiance
rybicki
discu
shock
definitive
exposure
correct
gauhar000058
gauhar
teetee
forget
inat
okay
scr015_000202
erode
christie
laugh
donaldson
sti
comply
uncomfortable
nod
shoo
confident
exact
wonderful
hunt
deni
wright
camey
megan
twohey
scott
shane
associates
discussions
singapore
memorialize
ktmf
witch
dems
offlynn
excerpt
delivery
jody
fbl
purposely
foresee
inconclusive
ssian
motivate
sympathy
unnecessary
discretion
rec
adam
entous
russ
lf
detract
pres
avert
majority
sc_ad
dana
boente
succession
ry
comms
roy
cohn
exec
sc_ad_00123
fixer
ethic
attorneys
kennedy
holder
bobby
scream
disrupt
contempt
gang
annie
chaos
burr
ad
hot
sns
classified0000140
anybody
frustration
rid
misperception
apuzzo
sc_ad_00210
uttam
sustainable
daniel
ofnational
odni
dempsey
muse
edward
gistaro
culver
trade
isis
shape
admiral
rogers
mess
ledgett
safe
vent
defend
secur
ity
scro
satellite
tement
conver
loyal
tap
caution
fit
bartiromo
corne
improperly
sidential
wer
ey
resist
nut
straw
straight
unde
gn
ag
choice
hunt000021
sorry
hunt000022
grandstander
bedminster
greatly
faith
adamant
motivated
importantly
leaker
mil
slow
severa
gauhar000056
hunt000026
gauhar000057
ec
hunt000028
mccab
gauhar000059
gauh
dag
removal
implement
worried
hunt000032
summon
unplanned
sander
i9
gauhar000071
johnson
fir
drive
politicize
scr08_001274
ciaramella
eased
clean
belonging
and
countless
slip
lester
holt
realize
showboat
turmoil
competent
transcrip
virtually
protective
discourage
successor
dir
ector
refusal
pretextual
aftermath
ofnew
quit
eve
ruin
hunt000039
hunt000040
pocket
hunt000041
undated
hunt000047
hunt000050
notation
golf
desk
hunt000052
jo
refund
conv
sky
unsel
igation
sc_ad_00361
widespread
relieve
allegedly
ruddy
partnership
shear
maggie
haberman
departm
directs
phony
devlin
barrett
possibl
sad
illy
scr026_000196
pack
consciously
shit
naturally
factfinder
continued
critically
ford
devotee
correctly
messenger
typewritten
lewandowski46
vaguely
lewandowski4618
dearborn620
baker
orders
intercept
tension
recess
rp
beleaguered
crooked
confine
speci
scrutiny
tt
ave
directe
production
raffel
parts
inc
inevitably
whomever
proactive
overseas
g20
usually
11a_000005
introductory
cabin
circa
becker
lawy
redact
after
corallo2
tribunal
drafting
gaggle
massive
underlying
tough
pmter
displeasure
potter
fix
gui
lty
sc_rrp000033
cos
totally
jay
goldberg
